Query ID	Query UniProt	Partner UniProt	Query Symbol	Partner Symbol	Species	Evidence Type
P10415	P10415	Q8N5K1	BCL2	CISD2	human	exp
P10415	P10415	Q14318	BCL2	FKBP8	human	exp,pred
P10415	P10415	P04637	BCL2	TP53	human	exp,pred
P10415	P10415	P48454	BCL2	PPP3CC	human	exp,pred
P10415	P10415	Q15257	BCL2	PPP2R4	human	exp,pred
P10415	P10415	P09874	BCL2	PARP1	human	exp,pred
P10415	P10415	Q9HD36	BCL2	BCL2L10	human	exp,pred
P10415	P10415	P55957	BCL2	BID	human	exp,ortho,pred
P10415	P10415	A8MW95	BCL2	BECN2	human	exp
P10415	P10415	Q9HCN2	BCL2	TP53AIP1	human	exp
P10415	P10415	Q14643	BCL2	ITPR1	human	exp,pred
P10415	P10415	P06493	BCL2	CDK1	human	exp,pred
P10415	P10415	Q07869	BCL2	PPARA	human	exp
P10415	P10415	Q15759	BCL2	MAPK11	human	exp,pred
P10415	P10415	P35568	BCL2	IRS1	human	exp,pred
P10415	P10415	P00441	BCL2	SOD1	human	exp,pred
P10415	P10415	P21796	BCL2	VDAC1	human	exp,pred
P10415	P10415	Q86XN8	BCL2	MEX3D	human	exp
P10415	P10415	Q13526	BCL2	PIN1	human	exp,pred
P10415	P10415	Q99933	BCL2	BAG1	human	exp,ortho,pred
P10415	P10415	Q9Y287	BCL2	ITM2B	human	exp
P10415	P10415	P62136	BCL2	PPP1CA	human	exp,ortho,pred
P10415	P10415	Q16611	BCL2	BAK1	human	exp,ortho,pred
P10415	P10415	P28482	BCL2	MAPK1	human	exp,pred
P10415	P10415	P17931	BCL2	LGALS3	human	exp
P10415	P10415	Q16539	BCL2	MAPK14	human	exp,pred
P10415	P10415	P51451	BCL2	BLK	human	exp
P10415	P10415	P04049	BCL2	RAF1	human	exp,pred
P10415	P10415	O14920	BCL2	IKBKB	human	exp,pred
P10415	P10415	P17612	BCL2	PRKACA	human	exp,pred
P10415	P10415	Q12981	BCL2	BNIP1	human	exp
P10415	P10415	P01112	BCL2	HRAS	human	exp,ortho,pred
P10415	P10415	Q5S007	BCL2	LRRK2	human	exp
P10415	P10415	Q9H2V7	BCL2	SPNS1	human	exp,pred
P10415	P10415	P67775	BCL2	PPP2CA	human	exp,ortho,pred
P10415	P10415	P62140	BCL2	PPP1CB	human	exp
P10415	P10415	P01111	BCL2	NRAS	human	exp
P10415	P10415	O43521	BCL2	BCL2L11	human	exp,ortho,pred
P10415	P10415	Q07817	BCL2	BCL2L1	human	exp,pred
P10415	P10415	O60551	BCL2	NMT2	human	exp
P10415	P10415	P36873	BCL2	PPP1CC	human	exp,pred
P10415	P10415	P10301	BCL2	RRAS	human	exp,pred
P10415	P10415	Q15637	BCL2	SF1	human	exp
P10415	P10415	P16615	BCL2	ATP2A2	human	exp
P10415	P10415	Q8IZY5	BCL2	BLID	human	exp
P10415	P10415	Q9NYF8	BCL2	BCLAF1	human	exp
P10415	P10415	Q9BXH1	BCL2	BBC3	human	exp,pred
P10415	P10415	P07900	BCL2	HSP90AA1	human	exp,pred
P10415	P10415	P38398	BCL2	BRCA1	human	exp,pred
P10415	P10415	O15111	BCL2	CHUK	human	exp
P10415	P10415	Q9Y4H2	BCL2	IRS2	human	exp
P10415	P10415	Q96F15	BCL2	GIMAP5	human	exp,pred
P10415	P10415	Q16665	BCL2	HIF1A	human	exp,pred
P10415	P10415	Q99728	BCL2	BARD1	human	exp
P10415	P10415	P17655	BCL2	CAPN2	human	exp,pred
P10415	P10415	P46695	BCL2	IER3	human	exp,pred
P10415	P10415	P50452	BCL2	SERPINB8	human	exp
P10415	P10415	Q07820	BCL2	MCL1	human	exp,pred
P10415	P10415	P31153	BCL2	MAT2A	human	exp
P10415	P10415	Q99640	BCL2	PKMYT1	human	exp,pred
P10415	P10415	Q99638	BCL2	RAD9A	human	exp,ortho,pred
P10415	P10415	P24941	BCL2	CDK2	human	exp,ortho,pred
P10415	P10415	Q13501	BCL2	SQSTM1	human	exp,pred
P10415	P10415	Q9Y6K9	BCL2	IKBKG	human	exp
P10415	P10415	P63098	BCL2	PPP3R1	human	exp,ortho,pred
P10415	P10415	Q7Z465	BCL2	BNIPL	human	exp,pred
P10415	P10415	P29590	BCL2	PML	human	exp,pred
P10415	P10415	Q96BY2	BCL2	MOAP1	human	exp
P10415	P10415	P42574	BCL2	CASP3	human	exp,pred
P10415	P10415	Q14145	BCL2	KEAP1	human	exp
P10415	P10415	Q13625	BCL2	TP53BP2	human	exp,pred
P10415	P10415	P49715	BCL2	CEBPA	human	exp
P10415	P10415	Q96HR8	BCL2	NAF1	human	exp
P10415	P10415	Q14457	BCL2	BECN1	human	exp,ortho,pred
P10415	P10415	Q08752	BCL2	PPID	human	exp
P10415	P10415	Q96LC9	BCL2	BMF	human	exp,ortho,pred
P10415	P10415	P02511	BCL2	CRYAB	human	exp
P10415	P10415	Q7L3V2	BCL2	BOP	human	exp
P10415	P10415	Q13323	BCL2	BIK	human	exp,ortho,pred
P10415	P10415	Q9BZR8	BCL2	BCL2L14	human	exp,pred
P10415	P10415	Q16637	BCL2	SMN1	human	exp,pred
P10415	P10415	Q12983	BCL2	BNIP3	human	exp,ortho,pred
P10415	P10415	P27797	BCL2	CALR	human	exp
P10415	P10415	P49768	BCL2	PSEN1	human	exp,pred
P10415	P10415	O60238	BCL2	BNIP3L	human	exp,pred
P10415	P10415	O60260	BCL2	PARK2	human	exp,ortho,pred
P10415	P10415	O15304	BCL2	SIVA1	human	exp,pred
P10415	P10415	Q86Y07	BCL2	VRK2	human	exp,pred
P10415	P10415	Q96PG8	BCL2	BBC3	human	exp
P10415	P10415	P45983	BCL2	MAPK8	human	exp,pred
P10415	P10415	Q12982	BCL2	BNIP2	human	exp,pred
P10415	P10415	O00198	BCL2	HRK	human	exp,pred
P10415	P10415	O60885	BCL2	BRD4	human	exp
P10415	P10415	O95817	BCL2	BAG3	human	exp,ortho,pred
P10415	P10415	Q93084	BCL2	ATP2A3	human	exp
P10415	P10415	Q9NQC3	BCL2	RTN4	human	exp,pred
P10415	P10415	P27361	BCL2	MAPK3	human	exp,pred
P10415	P10415	Q14790	BCL2	CASP8	human	exp,pred
P10415	P10415	Q92934	BCL2	BAD	human	exp,ortho,pred
P10415	P10415	Q08209	BCL2	PPP3CA	human	exp,ortho,pred
P10415	P10415	P0DMV9	BCL2	HSPA1B	human	exp
P10415	P10415	P55061	BCL2	TMBIM6	human	exp,pred
P10415	P10415	Q15388	BCL2	TOMM20	human	exp
P10415	P10415	P17252	BCL2	PRKCA	human	exp
P10415	P10415	Q04206	BCL2	RELA	human	exp,pred
P10415	P10415	P01116	BCL2	KRAS	human	exp
P10415	P10415	Q9C000	BCL2	NLRP1	human	exp,pred
P10415	P10415	P63279	BCL2	UBE2I	human	exp
P10415	P10415	Q13794	BCL2	PMAIP1	human	exp,pred
P10415	P10415	P10415	BCL2	BCL2	human	exp,ortho
P10415	P10415	Q15382	BCL2	RHEB	human	exp,pred
P10415	P10415	Q9NZS9	BCL2	BFAR	human	exp
P10415	P10415	P50416	BCL2	CPT1A	human	exp,ortho,pred
P10415	P10415	Q9NQS1	BCL2	AVEN	human	exp,pred
P10415	P10415	P30405	BCL2	PPIF	human	exp,ortho
P10415	P10415	Q15172	BCL2	PPP2R5A	human	exp,pred
P10415	P10415	O94817	BCL2	ATG12	human	exp
P10415	P10415	Q14103	BCL2	HNRNPD	human	exp
P10415	P10415	P63167	BCL2	DYNLL1	human	exp
P10415	P10415	P01106	BCL2	MYC	human	exp,ortho,pred
P10415	P10415	P25440	BCL2	BRD2	human	exp
P10415	P10415	Q07812	BCL2	BAX	human	exp,ortho,pred
P10415	P10415	P22736	BCL2	NR4A1	human	exp,pred
P10415	P10415	P38646	BCL2	HSPA9	human	exp
P10415	P10415	P51572	BCL2	BCAP31	human	exp,pred
P10415	P10415	P99999	BCL2	CYCS	human	exp,pred
P10415	P10415	Q9C0C7	BCL2	AMBRA1	human	exp,pred
P10415	P10415	O15151	BCL2	MDM4	human	exp
P10415	P10415	O95429	BCL2	BAG4	human	exp,ortho,pred
Q07817	Q07817	P54578	BCL2L1	USP14	human	exp
Q07817	Q07817	Q9HBF4	BCL2L1	ZFYVE1	human	exp
Q07817	Q07817	Q99933	BCL2L1	BAG1	human	exp
Q07817	Q07817	Q96BY2	BCL2L1	MOAP1	human	exp
Q07817	Q07817	P42574	BCL2L1	CASP3	human	exp,pred
Q07817	Q07817	Q9H2V7	BCL2L1	SPNS1	human	exp,pred
Q07817	Q07817	P52756	BCL2L1	RBM5	human	exp
Q07817	Q07817	Q86XA0	BCL2L1	METTL23	human	exp
Q07817	Q07817	O43889	BCL2L1	CREB3	human	exp
Q07817	Q07817	O00429	BCL2L1	DNM1L	human	exp,ortho,pred
Q07817	Q07817	O60238	BCL2L1	BNIP3L	human	exp,pred
Q07817	Q07817	P35222	BCL2L1	CTNNB1	human	exp
Q07817	Q07817	Q86Y07	BCL2L1	VRK2	human	exp
Q07817	Q07817	P54252	BCL2L1	ATXN3	human	exp
Q07817	Q07817	Q9P2Y4	BCL2L1	ZNF219	human	exp
Q07817	Q07817	P13693	BCL2L1	TPT1	human	exp,ortho,pred
Q07817	Q07817	Q9HD36	BCL2L1	BCL2L10	human	exp,pred
Q07817	Q07817	Q9Y4H2	BCL2L1	IRS2	human	exp
Q07817	Q07817	P04049	BCL2L1	RAF1	human	exp,pred
Q07817	Q07817	P29466	BCL2L1	CASP1	human	exp,pred
Q07817	Q07817	P36873	BCL2L1	PPP1CC	human	exp,pred
Q07817	Q07817	P55211	BCL2L1	CASP9	human	exp,pred
Q07817	Q07817	P25054	BCL2L1	APC	human	exp
Q07817	Q07817	P04637	BCL2L1	TP53	human	exp,ortho,pred
Q07817	Q07817	Q07820	BCL2L1	MCL1	human	exp,pred
Q07817	Q07817	P49286	BCL2L1	MTNR1B	human	exp
Q07817	Q07817	P46937	BCL2L1	YAP1	human	exp
Q07817	Q07817	Q9HB09	BCL2L1	BCL2L12	human	exp,pred
Q07817	Q07817	Q9NQC3	BCL2L1	RTN4	human	exp,pred
Q07817	Q07817	P42771	BCL2L1	CDKN2A	human	exp,ortho,pred
Q07817	Q07817	Q9NQS1	BCL2L1	AVEN	human	exp,pred
Q07817	Q07817	Q9BXM7	BCL2L1	PINK1	human	exp,pred
Q07817	Q07817	O14727	BCL2L1	APAF1	human	exp,pred
Q07817	Q07817	P21246	BCL2L1	PTN	human	exp
Q07817	Q07817	Q07817	BCL2L1	BCL2L1	human	exp
Q07817	Q07817	P49768	BCL2L1	PSEN1	human	exp,pred
Q07817	Q07817	P55061	BCL2L1	TMBIM6	human	exp,pred
Q07817	Q07817	P45983	BCL2L1	MAPK8	human	exp,pred
Q07817	Q07817	Q9UKY1	BCL2L1	ZHX1	human	exp
Q07817	Q07817	Q3B7T1	BCL2L1	EDRF1	human	exp
Q07817	Q07817	P37840	BCL2L1	SNCA	human	exp,pred
Q07817	Q07817	Q14790	BCL2L1	CASP8	human	exp,pred
Q07817	Q07817	P00519	BCL2L1	ABL1	human	exp,pred
Q07817	Q07817	Q12983	BCL2L1	BNIP3	human	exp,pred
Q07817	Q07817	Q13794	BCL2L1	PMAIP1	human	exp,pred
Q07817	Q07817	Q9NP97	BCL2L1	DYNLRB1	human	exp
Q07817	Q07817	P02511	BCL2L1	CRYAB	human	exp,pred
Q07817	Q07817	Q96N67	BCL2L1	DOCK7	human	exp
Q07817	Q07817	P13667	BCL2L1	PDIA4	human	exp
Q07817	Q07817	P10909	BCL2L1	CLU	human	exp
Q07817	Q07817	Q96HS1	BCL2L1	PGAM5	human	exp
Q07817	Q07817	Q04724	BCL2L1	TLE1	human	exp
Q07817	Q07817	Q8IZY5	BCL2L1	BLID	human	exp
Q07817	Q07817	P62136	BCL2L1	PPP1CA	human	exp,ortho,pred
Q07817	Q07817	Q9UKT9	BCL2L1	IKZF3	human	exp,pred
Q07817	Q07817	Q9NZS9	BCL2L1	BFAR	human	exp
Q07817	Q07817	Q9NYF8	BCL2L1	BCLAF1	human	exp
Q07817	Q07817	Q9BXH1	BCL2L1	BBC3	human	exp,pred
Q07817	Q07817	Q9UKL3	BCL2L1	CASP8AP2	human	exp,pred
Q07817	Q07817	O60260	BCL2L1	PARK2	human	exp,pred
Q07817	Q07817	Q92843	BCL2L1	BCL2L2	human	exp,pred
Q07817	Q07817	Q06187	BCL2L1	BTK	human	exp
Q07817	Q07817	Q16799	BCL2L1	RTN1	human	exp
Q07817	Q07817	Q7Z465	BCL2L1	BNIPL	human	exp,pred
Q07817	Q07817	Q99497	BCL2L1	PARK7	human	exp
Q07817	Q07817	O15304	BCL2L1	SIVA1	human	exp,ortho,pred
Q07817	Q07817	P46695	BCL2L1	IER3	human	exp
Q07817	Q07817	Q96F15	BCL2L1	GIMAP5	human	exp
Q07817	Q07817	Q12981	BCL2L1	BNIP1	human	exp,pred
Q07817	Q07817	P63167	BCL2L1	DYNLL1	human	exp
Q07817	Q07817	Q04206	BCL2L1	RELA	human	exp
Q07817	Q07817	P99999	BCL2L1	CYCS	human	exp,pred
Q07817	Q07817	Q13158	BCL2L1	FADD	human	exp,pred
Q07817	Q07817	Q9H1Y0	BCL2L1	ATG5	human	exp
Q07817	Q07817	P09651	BCL2L1	HNRNPA1	human	exp
Q07817	Q07817	P31749	BCL2L1	AKT1	human	exp,pred
Q07817	Q07817	Q14457	BCL2L1	BECN1	human	exp,ortho,pred
Q07817	Q07817	Q99638	BCL2L1	RAD9A	human	exp,pred
Q07817	Q07817	P48736	BCL2L1	PIK3CG	human	exp
Q07817	Q07817	P49810	BCL2L1	PSEN2	human	exp,pred
Q07817	Q07817	P35568	BCL2L1	IRS1	human	exp
Q07817	Q07817	P51572	BCL2L1	BCAP31	human	exp,pred
Q07817	Q07817	Q96PU4	BCL2L1	UHRF2	human	exp
Q07817	Q07817	Q92934	BCL2L1	BAD	human	exp,ortho,pred
Q07817	Q07817	O43521	BCL2L1	BCL2L11	human	exp,ortho,pred
Q07817	Q07817	P51451	BCL2L1	BLK	human	exp
Q07817	Q07817	Q7L3V2	BCL2L1	BOP	human	exp
Q07817	Q07817	Q96PG8	BCL2L1	BBC3	human	exp,ortho
Q07817	Q07817	P09467	BCL2L1	FBP1	human	exp
Q07817	Q07817	Q6PKG0	BCL2L1	LARP1	human	exp
Q07817	Q07817	Q9H6X2	BCL2L1	ANTXR1	human	exp
Q07817	Q07817	Q13625	BCL2L1	TP53BP2	human	exp,pred
Q07817	Q07817	P21796	BCL2L1	VDAC1	human	exp,pred
Q07817	Q07817	Q14289	BCL2L1	PTK2B	human	exp,pred
Q07817	Q07817	Q9C000	BCL2L1	NLRP1	human	exp,pred
Q07817	Q07817	P45880	BCL2L1	VDAC2	human	exp,pred
Q07817	Q07817	P60709	BCL2L1	ACTB	human	exp
Q07817	Q07817	Q14318	BCL2L1	FKBP8	human	exp,pred
Q07817	Q07817	P42345	BCL2L1	MTOR	human	exp
Q07817	Q07817	P07384	BCL2L1	CAPN1	human	exp,pred
