Query ID	Query UniProt	Partner UniProt	Query Symbol	Partner Symbol	Species	Evidence Type
Q07817	Q07817	Q8IWV7	BCL2L1	UBR1	human	exp
Q07817	Q07817	P55957	BCL2L1	BID	human	exp,pred
Q07817	Q07817	P78560	BCL2L1	CRADD	human	exp
Q07817	Q07817	Q8NEY8	BCL2L1	PPHLN1	human	exp
Q07817	Q07817	P24928	BCL2L1	POLR2A	human	exp
Q07817	Q07817	Q96LC9	BCL2L1	BMF	human	exp,ortho,pred
Q07817	Q07817	Q16611	BCL2L1	BAK1	human	exp,pred
Q07817	Q07817	Q13323	BCL2L1	BIK	human	exp,ortho,pred
Q07817	Q07817	Q9BZR8	BCL2L1	BCL2L14	human	exp
Q07817	Q07817	O15519	BCL2L1	CFLAR	human	exp,pred
Q07817	Q07817	Q8IV08	BCL2L1	PLD3	human	exp
Q07817	Q07817	Q29RF7	BCL2L1	PDS5A	human	exp
Q07817	Q07817	Q9HC38	BCL2L1	GLOD4	human	exp
Q07817	Q07817	P02489	BCL2L1	CRYAA	human	exp
Q07817	Q07817	O00198	BCL2L1	HRK	human	exp,pred
Q92843	Q92843	P62136	BCL2L2	PPP1CA	human	exp,ortho,pred
Q92843	Q92843	Q92843	BCL2L2	BCL2L2	human	exp
Q92843	Q92843	O60260	BCL2L2	PARK2	human	exp
Q92843	Q92843	Q9BXM7	BCL2L2	PINK1	human	exp
Q92843	Q92843	P55957	BCL2L2	BID	human	exp,pred
Q92843	Q92843	Q6I9Y2	BCL2L2	THOC7	human	exp
Q92843	Q92843	P04271	BCL2L2	S100B	human	exp
Q92843	Q92843	Q7L3V2	BCL2L2	BOP	human	exp
Q92843	Q92843	Q969F0	BCL2L2	FATE1	human	exp
Q92843	Q92843	Q15717	BCL2L2	ELAVL1	human	exp
Q92843	Q92843	Q8IYF3	BCL2L2	TEX11	human	exp
Q92843	Q92843	Q96PG8	BCL2L2	BBC3	human	exp
Q92843	Q92843	P60520	BCL2L2	GABARAPL2	human	exp
Q92843	Q92843	Q13323	BCL2L2	BIK	human	exp,pred
Q92843	Q92843	P04637	BCL2L2	TP53	human	exp,pred
Q92843	Q92843	Q13422	BCL2L2	IKZF1	human	exp
Q92843	Q92843	O43521	BCL2L2	BCL2L11	human	exp,ortho,pred
Q92843	Q92843	O00198	BCL2L2	HRK	human	exp,pred
Q92843	Q92843	Q8NI27	BCL2L2	THOC2	human	exp
Q92843	Q92843	Q9BXH1	BCL2L2	BBC3	human	exp,pred
Q92843	Q92843	Q96LC9	BCL2L2	BMF	human	exp,ortho,pred
Q92843	Q92843	Q13625	BCL2L2	TP53BP2	human	exp
Q92843	Q92843	P15884	BCL2L2	TCF4	human	exp
Q92843	Q92843	Q8N6L0	BCL2L2	CCDC155	human	exp
Q92843	Q92843	Q92934	BCL2L2	BAD	human	exp,ortho,pred
Q92843	Q92843	Q13794	BCL2L2	PMAIP1	human	exp
Q07820	Q07820	P53779	MCL1	MAPK10	human	exp
Q07820	Q07820	Q14790	MCL1	CASP8	human	exp,pred
Q07820	Q07820	P61803	MCL1	DAD1	human	exp,pred
Q07820	Q07820	Q9Y478	MCL1	PRKAB1	human	exp
Q07820	Q07820	P54619	MCL1	PRKAG1	human	exp
Q07820	Q07820	P62987	MCL1	UBA52	human	exp
Q07820	Q07820	P34932	MCL1	HSPA4	human	exp
Q07820	Q07820	P45983	MCL1	MAPK8	human	exp,ortho,pred
Q07820	Q07820	Q16611	MCL1	BAK1	human	exp,ortho,pred
Q07820	Q07820	Q9Y4K3	MCL1	TRAF6	human	exp
Q07820	Q07820	O95817	MCL1	BAG3	human	exp,pred
Q07820	Q07820	P11142	MCL1	HSPA8	human	exp
Q07820	Q07820	O75635	MCL1	SERPINB7	human	exp
Q07820	Q07820	Q9P2P6	MCL1	STARD9	human	exp
Q07820	Q07820	Q16610	MCL1	ECM1	human	exp
Q07820	Q07820	Q13526	MCL1	PIN1	human	exp,ortho,pred
Q07820	Q07820	P45984	MCL1	MAPK9	human	exp
Q07820	Q07820	P07948	MCL1	LYN	human	exp
Q07820	Q07820	Q93008	MCL1	USP9X	human	exp
Q07820	Q07820	Q9UKV8	MCL1	AGO2	human	exp
Q07820	Q07820	Q9BXH1	MCL1	BBC3	human	exp,pred
Q07820	Q07820	P42575	MCL1	CASP2	human	exp,pred
Q07820	Q07820	Q03135	MCL1	CAV1	human	exp
Q07820	Q07820	Q9BXM7	MCL1	PINK1	human	exp
Q07820	Q07820	Q13131	MCL1	PRKAA1	human	exp
Q07820	Q07820	Q13323	MCL1	BIK	human	exp,ortho,pred
Q07820	Q07820	P21796	MCL1	VDAC1	human	exp,pred
Q07820	Q07820	Q96PG8	MCL1	BBC3	human	exp
Q07820	Q07820	P33527	MCL1	ABCC1	human	exp
Q07820	Q07820	Q9UBU9	MCL1	NXF1	human	exp
Q07820	Q07820	Q14814	MCL1	MEF2D	human	exp
Q07820	Q07820	P42574	MCL1	CASP3	human	exp,pred
Q07820	Q07820	Q9C0B0	MCL1	UNK	human	exp,ortho
Q07820	Q07820	P08173	MCL1	CHRM4	human	exp
Q07820	Q07820	Q07820	MCL1	MCL1	human	exp
Q07820	Q07820	P25101	MCL1	EDNRA	human	exp
Q07820	Q07820	Q96LC9	MCL1	BMF	human	exp,ortho,pred
Q07820	Q07820	O95429	MCL1	BAG4	human	exp,pred
Q07820	Q07820	O43521	MCL1	BCL2L11	human	exp,ortho,pred
Q07820	Q07820	O94817	MCL1	ATG12	human	exp
Q07820	Q07820	Q14457	MCL1	BECN1	human	exp,pred
Q07820	Q07820	P04637	MCL1	TP53	human	exp,pred
Q07820	Q07820	Q7L3V2	MCL1	BOP	human	exp
Q07820	Q07820	P49810	MCL1	PSEN2	human	exp,pred
Q07820	Q07820	P10144	MCL1	GZMB	human	exp,pred
Q07820	Q07820	O43741	MCL1	PRKAB2	human	exp
Q07820	Q07820	P55957	MCL1	BID	human	exp,pred
Q07820	Q07820	P13073	MCL1	COX4I1	human	exp
Q07820	Q07820	Q9UMX3	MCL1	BOK	human	exp,ortho,pred
Q07820	Q07820	P60709	MCL1	ACTB	human	exp
Q07820	Q07820	P28482	MCL1	MAPK1	human	exp
Q07820	Q07820	Q9Y297	MCL1	BTRC	human	exp
Q07820	Q07820	Q53RT3	MCL1	ASPRV1	human	exp
Q07820	Q07820	P55211	MCL1	CASP9	human	exp,pred
Q07820	Q07820	P0DMV9	MCL1	HSPA1B	human	exp
Q07820	Q07820	Q969H0	MCL1	FBXW7	human	exp,ortho
Q07820	Q07820	P46695	MCL1	IER3	human	exp
Q07820	Q07820	P10809	MCL1	HSPD1	human	exp,ortho
Q07820	Q07820	P12004	MCL1	PCNA	human	exp,pred
Q07820	Q07820	O00198	MCL1	HRK	human	exp,pred
Q07820	Q07820	Q96F44	MCL1	TRIM11	human	exp
Q07820	Q07820	P55210	MCL1	CASP7	human	exp,pred
Q07820	Q07820	P20930	MCL1	FLG	human	exp
Q07820	Q07820	Q9H2K2	MCL1	TNKS2	human	exp
Q07820	Q07820	Q13794	MCL1	PMAIP1	human	exp,pred
Q07820	Q07820	Q5TC12	MCL1	ATPAF1	human	exp
Q07820	Q07820	O95271	MCL1	TNKS	human	exp,pred
Q07820	Q07820	Q92934	MCL1	BAD	human	exp,ortho,pred
Q07820	Q07820	P04406	MCL1	GAPDH	human	exp
Q07820	Q07820	P49841	MCL1	GSK3B	human	exp,ortho,pred
Q07820	Q07820	O60260	MCL1	PARK2	human	exp
Q07820	Q07820	P23786	MCL1	CPT2	human	exp
Q07820	Q07820	Q7Z6Z7	MCL1	HUWE1	human	exp,ortho,pred
Q07820	Q07820	P49840	MCL1	GSK3A	human	exp
Q07820	Q07820	P13693	MCL1	TPT1	human	exp,ortho,pred
Q07820	Q07820	Q96PU4	MCL1	UHRF2	human	exp
Q9HD36	Q9HD36	O14727	BCL2L10	APAF1	human	exp,pred
Q9HD36	Q9HD36	Q9HD36	BCL2L10	BCL2L10	human	exp
Q9HD36	Q9HD36	Q13323	BCL2L10	BIK	human	exp,pred
Q9HD36	Q9HD36	Q92934	BCL2L10	BAD	human	exp,pred
Q9HD36	Q9HD36	P22736	BCL2L10	NR4A1	human	exp
Q9HD36	Q9HD36	O43521	BCL2L10	BCL2L11	human	exp,pred
Q9HD36	Q9HD36	Q9UMX0	BCL2L10	UBQLN1	human	exp
Q9HD36	Q9HD36	Q14790	BCL2L10	CASP8	human	exp,pred
Q16548	Q16548	Q8IZU0	BCL2A1	FAM9B	human	exp
Q16548	Q16548	Q16611	BCL2A1	BAK1	human	exp,pred
Q16548	Q16548	P62993	BCL2A1	GRB2	human	exp
Q16548	Q16548	O00198	BCL2A1	HRK	human	exp,pred
Q16548	Q16548	Q14457	BCL2A1	BECN1	human	exp
Q16548	Q16548	P05067	BCL2A1	APP	human	exp
Q16548	Q16548	O43521	BCL2A1	BCL2L11	human	exp,ortho,pred
Q16548	Q16548	Q13794	BCL2A1	PMAIP1	human	exp
Q16548	Q16548	Q96PG8	BCL2A1	BBC3	human	exp
Q16548	Q16548	Q7L3V2	BCL2A1	BOP	human	exp
Q16548	Q16548	Q9UMX3	BCL2A1	BOK	human	exp,ortho,pred
Q16548	Q16548	Q92934	BCL2A1	BAD	human	exp,pred
Q16548	Q16548	O14929	BCL2A1	HAT1	human	exp
Q16548	Q16548	Q9BXH1	BCL2A1	BBC3	human	exp,pred
Q16548	Q16548	Q96LC9	BCL2A1	BMF	human	exp,pred
Q16548	Q16548	P07384	BCL2A1	CAPN1	human	exp
Q16548	Q16548	O14745	BCL2A1	SLC9A3R1	human	exp
Q16548	Q16548	Q13323	BCL2A1	BIK	human	exp,pred
Q16548	Q16548	P55957	BCL2A1	BID	human	exp,pred
Q16548	Q16548	P22736	BCL2A1	NR4A1	human	exp
Q9UMX3	Q9UMX3	Q8NC60	BOK	NOA1	human	exp
Q9UMX3	Q9UMX3	A2RU30	BOK	TESPA1	human	exp
Q07812	Q07812	P98170	BAX	XIAP	human	exp
Q07812	Q07812	P55210	BAX	CASP7	human	exp,pred
Q07812	Q07812	Q15388	BAX	TOMM20	human	exp,ortho,pred
Q07812	Q07812	P55072	BAX	VCP	human	exp
Q07812	Q07812	Q9NPI1	BAX	BRD7	human	exp
Q07812	Q07812	P49916	BAX	LIG3	human	exp
Q07812	Q07812	P45880	BAX	VDAC2	human	exp,pred
Q07812	Q07812	Q7L3V2	BAX	BOP	human	exp
Q07812	Q07812	O15519	BAX	CFLAR	human	exp,pred
Q07812	Q07812	Q7L2J0	BAX	MEPCE	human	exp
Q07812	Q07812	Q13794	BAX	PMAIP1	human	exp,pred
Q07812	Q07812	Q96P63	BAX	SERPINB12	human	exp
Q07812	Q07812	Q99497	BAX	PARK7	human	exp
Q07812	Q07812	Q14653	BAX	IRF3	human	exp
Q07812	Q07812	Q5TC12	BAX	ATPAF1	human	exp
Q07812	Q07812	Q07817	BAX	BCL2L1	human	exp,ortho,pred
Q07812	Q07812	P31749	BAX	AKT1	human	exp,pred
Q07812	Q07812	Q96BY2	BAX	MOAP1	human	exp,ortho,pred
Q07812	Q07812	O14893	BAX	GEMIN2	human	exp
Q07812	Q07812	P02489	BAX	CRYAA	human	exp
Q07812	Q07812	Q06830	BAX	PRDX1	human	exp
Q07812	Q07812	O00198	BAX	HRK	human	exp,pred
Q07812	Q07812	P07384	BAX	CAPN1	human	exp
Q07812	Q07812	P62987	BAX	UBA52	human	exp
Q07812	Q07812	P13010	BAX	XRCC5	human	exp
Q07812	Q07812	Q03468	BAX	ERCC6	human	exp
Q07812	Q07812	Q15365	BAX	PCBP1	human	exp
Q07812	Q07812	P50454	BAX	SERPINH1	human	exp
Q07812	Q07812	Q3B7T1	BAX	EDRF1	human	exp
Q07812	Q07812	Q9UNZ2	BAX	NSFL1C	human	exp
Q07812	Q07812	Q9HD36	BAX	BCL2L10	human	exp,pred
Q07812	Q07812	P12235	BAX	SLC25A4	human	exp,pred
Q07812	Q07812	Q9HB09	BAX	BCL2L12	human	exp,pred
Q07812	Q07812	Q7Z419	BAX	RNF144B	human	exp
Q07812	Q07812	Q96PU4	BAX	UHRF2	human	exp
Q07812	Q07812	Q16611	BAX	BAK1	human	exp,ortho,pred
Q07812	Q07812	O75460	BAX	ERN1	human	exp,ortho,pred
Q07812	Q07812	P99999	BAX	CYCS	human	exp
Q07812	Q07812	Q07812	BAX	BAX	human	exp,ortho
Q07812	Q07812	P55957	BAX	BID	human	exp,ortho,pred
Q07812	Q07812	Q32NC0	BAX	C18orf21	human	exp
Q07812	Q07812	Q92843	BAX	BCL2L2	human	exp,ortho,pred
Q07812	Q07812	Q02156	BAX	PRKCE	human	exp
Q07812	Q07812	Q9NX40	BAX	OCIAD1	human	exp
