"names"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"dir"
"PKMYT1"	3.59204425255822	3.64698653375509	24.9079801279246	8.0059465987005e-92	7.14480696767778e-89	198.76524942348	"up"
"MELK"	3.34929659026686	3.10578371340912	23.4056798633338	3.16322342101874e-84	1.10165042021285e-81	181.327995761618	"up"
"BARD1"	1.33589523629269	3.94804261825093	17.5949720460344	3.86794125986044e-55	1.92440185538492e-53	114.492047978349	"up"
"TRIM11"	1.21735558929906	5.17155369259743	17.3741011242903	4.6007447376078e-54	2.11234836361099e-52	111.952204704358	"up"
"BBC3"	1.59540779065148	3.34491510576636	17.1245148485991	7.47159461727592e-53	3.25264937622204e-51	109.331968277254	"up"
"LEF1"	2.35155812013246	3.89770459201292	13.6036053354126	1.83461733751051e-36	3.09285725647137e-35	71.7603091300144	"up"
"PARP1"	1.07084830808173	8.0356793870212	13.5898704220891	2.11021464678329e-36	3.52830854114972e-35	71.4259623814298	"up"
"E2F1"	1.52435604141053	4.27019449145697	13.2437802912439	7.01407823627935e-35	1.04873322655322e-33	68.0201857833077	"up"
"PMAIP1"	2.20010740471086	3.37677315456299	12.7826476395513	6.95944858434995e-33	9.27861497067534e-32	63.6207007196637	"up"
"BIK"	1.90092039120088	3.0150077164506	12.0257822957312	1.08984692401411e-29	1.17982746231975e-28	56.327196902259	"up"
"FBP1"	1.44337987299917	5.72592119271402	9.96438818891907	1.37926449920466e-21	8.68364981664169e-21	37.5632926764746	"up"
"PYCARD"	1.63930235813065	5.0253812376197	9.71721222545422	1.10856001573048e-20	6.55721974507683e-20	35.58173540253	"up"
"SLC9A3R1"	1.28046669073623	8.43866476689785	9.48840968380744	7.39105370785514e-20	4.16483251359367e-19	33.5909544112209	"up"
"BRCA1"	1.16481169488985	4.06470342457974	8.93107733029623	6.57493986569642e-18	3.23624840890311e-17	29.2687001058108	"up"
"TRAPPC5"	1.00006603144642	0.170922206001661	6.98012097519116	8.66099163114718e-12	2.72461554309651e-11	16.1753808606387	"up"
"CDKN2A"	1.47832390859495	2.58007908501021	6.99992652027135	7.60917558470382e-12	2.40485653328875e-11	15.6891553337499	"up"
"ECM1"	1.5858359553973	5.83621557104511	6.84318768993954	2.10304405008836e-11	6.4537644511523e-11	14.3829172903463	"up"
"PRSS23"	1.13720262057561	7.26759375269886	6.636847857279	7.7948565843749e-11	2.28594695354876e-10	13.0923363158842	"up"
"SERPINB7"	2.13569126121749	-2.73213113212974	5.65514296452715	2.52358862774584e-08	6.02681418558001e-08	8.67341884866635	"up"
"BNIPL"	1.52211933105888	4.22946424175695	5.78597884193166	1.22084846863224e-08	2.98706224873198e-08	8.47107154824345	"up"
"STARD9"	-2.16082086233151	3.17630990007239	-19.7272361358272	1.11608681416569e-65	1.04160807970405e-63	138.783911107388	"down"
"NMT2"	-1.74145593998397	3.99566468552314	-19.0088344155728	4.23037674055828e-62	3.16259421353045e-60	130.489038662548	"down"
"PPARA"	-1.62093742425191	4.10674361461854	-16.3242185138837	5.23843563870819e-49	1.82884162555291e-47	100.448044231089	"down"
"EPAS1"	-1.72700725764048	7.45924580249613	-15.9527556170071	3.04563307603078e-47	9.57898561511972e-46	96.2616671970473	"down"
"CFLAR"	-1.04047903652619	6.65660967959661	-14.6060452181055	5.64687175782212e-41	1.25010359426267e-39	81.8616408038675	"down"
"NR4A1"	-2.55503180519544	5.67299102972469	-14.4459963065916	3.03191716862165e-40	6.42325597192116e-39	80.2037770401695	"down"
"NLRP1"	-1.28164855468513	3.9251070519169	-13.8018403741525	2.41570867423274e-37	4.32254438087334e-36	73.736267672182	"down"
"PRKCA"	-1.5511403156211	3.04724228649372	-13.5322970158733	3.7912668757465e-36	6.17985156607126e-35	71.0594764854719	"down"
"MEOX2"	-2.7539605723003	1.86175677412478	-12.0352610659644	9.95457309130443e-30	1.0792813148879e-28	56.6889331413831	"down"
"MYC"	-1.7478909306076	6.54008618465884	-11.8376817293419	6.52303917676203e-29	6.71055305511419e-28	54.2256893553141	"down"
"IRS2"	-1.71348082417069	5.12274314326635	-11.2699482849036	1.30713734737103e-26	1.17683569880901e-25	48.9781792032072	"down"
"CEBPA"	-1.76076489578747	4.60883977404183	-10.9177172009041	3.23595100718025e-25	2.62088170343317e-24	45.9011252403837	"down"
"RRAS"	-1.01356298322742	5.59885714364303	-9.90345537880656	2.31311993821176e-21	1.42550883028596e-20	37.0316347063733	"down"
"HRK"	-2.45970232922031	-0.839616726384187	-9.42397777769909	1.25395038812368e-19	6.93460789776067e-19	33.8087046404586	"down"
"TLE1"	-1.21652942141023	5.17885332567521	-9.41851261467578	1.31130249903178e-19	7.24052897788633e-19	33.0467138182412	"down"
"MAP3K5"	-1.06337755282782	4.32587795221766	-9.35691190677382	2.16810426227696e-19	1.18071551338874e-18	32.6757115603754	"down"
"BOK"	-1.06583630330108	5.81307048164745	-8.95911725190692	5.2702919533884e-18	2.60937929273346e-17	29.3577643892543	"down"
"MAPK10"	-1.61120601393939	2.68484716971123	-5.465547641906	7.0517676182754e-08	1.62590327500976e-07	7.15337823394634	"down"
"CLU"	-1.01622309313799	8.94508619071634	-4.85022660502137	1.61434632014279e-06	3.32102738875074e-06	3.45351254512812	"down"
