"names"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"dir"
"PPARA"	1.67354711374937	4.10674361461854	12.0039036000519	1.34310183729176e-29	2.10748913568011e-27	56.3547757197447	"up"
"NMT2"	1.14207370484451	3.99566468552314	8.86199694478469	1.13140014264051e-17	3.89283437030455e-16	29.2186736261391	"up"
"LYN"	1.09527091916711	4.83153199055875	7.57207277830215	1.59546379074991e-13	2.93199838714516e-12	19.7632479157824	"up"
"MYC"	1.5035810632143	6.54008618465884	7.40164820948059	5.17202980686602e-13	8.69863529001648e-12	18.4896347463308	"up"
"HRK"	2.22231946435314	-0.839616726384187	6.16049470854904	1.41588172494089e-09	1.32053397455461e-08	11.4509012530905	"up"
"CDKN2A"	1.609354998931	2.58007908501021	6.03915027145842	2.88059378927521e-09	2.53431908299819e-08	10.3053695697047	"up"
"PPP1R9A"	1.31782167882867	4.29514083645376	5.96015539778696	4.54528563301543e-09	3.86322223534686e-08	9.76621171509073	"up"
"PMAIP1"	1.40436991004289	3.37677315456299	5.86047560349603	8.02460872409144e-09	6.51412097619679e-08	9.39258675452769	"up"
"SERPINB7"	2.90035286433639	-2.73213113212974	5.67365358029573	2.27911928081675e-08	1.70312514700152e-07	8.75433435189137	"up"
"BCL2L14"	1.70536618974164	-0.171807631419479	5.11734642355249	4.31050877280959e-07	2.5214975324436e-06	6.05208698321899	"up"
"IRS2"	1.05972611772729	5.12274314326635	4.84811482413075	1.63089789442386e-06	8.45591540830732e-06	3.97377968010363	"up"
"BCL2A1"	1.2577944878484	1.11949255825553	3.71781331511717	0.00022188268567503	0.000707675422996148	0.153502751819144	"up"
"FBP1"	-2.40034030322467	5.72592119271402	-11.9644483869273	1.95666045101643e-29	3.00421016989931e-27	55.9153905086424	"down"
"BIK"	-1.94890748567689	3.0150077164506	-9.44969032845055	1.01577084384695e-19	4.54676861419767e-18	33.9375969447977	"down"
"SLC9A3R1"	-1.42428932131777	8.43866476689785	-7.65304514932355	9.0582536393621e-14	1.7669781928477e-12	20.2500205008494	"down"
"CPT1A"	-1.13636215643728	6.61836282887224	-6.977821749085	8.79198889521912e-12	1.22958677213353e-10	15.7093377100666	"down"
"ITPR1"	-1.46959601515964	6.26803827753237	-6.93442599868531	1.1663131846355e-11	1.58305950222532e-10	15.495156589136	"down"
"ATP2A3"	-1.59739118079191	6.38147209663169	-6.3037346327066	6.03163473199589e-10	6.03543884640289e-09	11.5817403823732	"down"
"LRRK2"	-1.23944721683679	3.55014803235776	-6.25229580145259	8.20959874479616e-10	8.03460318553422e-09	11.5187857505463	"down"
"ECM1"	-1.72520269240106	5.83621557104511	-5.44772781243804	7.75511024817936e-08	5.24066347533143e-07	6.89073559592924	"down"
