"names"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"dir"
"PPARA"	1.68434097683318	4.10674361461854	15.9387425594672	3.54784375096459e-47	2.47120297170846e-45	96.3590833490996	"up"
"NMT2"	1.38869453389204	3.99566468552314	14.2122580665398	3.47832810741378e-39	1.43962455205105e-37	78.0458340602795	"up"
"TP53BP2"	1.2924291562321	5.67514190139037	13.3289984376672	2.97226707655293e-35	9.28687124422305e-34	68.9136718419887	"up"
"HRK"	3.38500582466272	-0.839616726384187	12.2882046479912	8.74485784906007e-31	1.80967862647433e-29	59.0647917423849	"up"
"LYN"	1.33004586486143	4.83153199055875	11.9353416310296	2.58147018951912e-29	4.74399135600304e-28	55.4131897000425	"up"
"AGO2"	1.15879479573135	6.15054588044655	10.3634303388012	4.43143623850869e-23	5.06617118091798e-22	41.0557428997447	"up"
"PRKCA"	1.23487666355356	3.04724228649372	10.0790104260358	5.18493033774703e-22	5.52092619632288e-21	38.8952047809625	"up"
"CDKN2A"	1.85434825854032	2.58007908501021	9.19156985459163	8.26501711536451e-19	6.74763747228644e-18	31.5478205695656	"up"
"BCL2L14"	2.30497935148932	-0.171807631419479	8.93475828943002	6.38695966144794e-18	4.8587851361649e-17	30.0159737920075	"up"
"TEAD2"	1.28672968004924	5.53543988440923	8.7562447858321	2.58171462613496e-17	1.87987267448144e-16	27.9342154837589	"up"
"TLE1"	1.19129436139276	5.17885332567521	8.7082894384568	3.74413609880972e-17	2.68655876155296e-16	27.6145379822656	"up"
"SERPINB7"	2.85705365788345	-2.73213113212974	7.41675187470484	4.66402664475266e-13	2.29172871508683e-12	19.1246672238425	"up"
"BCL2A1"	1.61891762741741	1.11949255825553	6.09789363637816	2.04545009383137e-09	7.02090910812936e-09	10.9276865063924	"up"
"GZMB"	1.47597523830297	0.243110549981374	4.39483964778141	1.3344690158703e-05	3.06348602533956e-05	2.6581949344546	"up"
"FBP1"	-3.31833235669682	5.72592119271402	-21.203019731531	4.3308312988827e-73	2.47359760466984e-70	155.757108997895	"down"
"TMBIM6"	-1.27776597752865	10.2587029592505	-19.3932602480537	5.17944796070397e-64	1.50933341695698e-61	134.934592740768	"down"
"SLC9A3R1"	-2.17640272259046	8.43866476689785	-15.229494683704	7.53085996240517e-44	4.18416923747795e-42	88.6342734377785	"down"
"HSD17B4"	-1.08697645049795	7.26560613900969	-13.1136472218826	2.58863203595807e-34	7.42763899497917e-33	66.7395973182535	"down"
"BCL2"	-1.91596430904196	6.10896261456405	-12.0779249594865	6.6179629904068e-30	1.27527521646449e-28	56.6909161320687	"down"
"ITPR1"	-1.74820670017943	6.26803827753237	-10.6426715106111	3.79360102523536e-24	4.72677391268199e-23	43.55239055509	"down"
"CPT1A"	-1.29852620827891	6.61836282887224	-10.3660187308852	4.33245326144023e-23	4.96493580418178e-22	41.0690525513855	"down"
"ECM1"	-1.85757647327076	5.83621557104511	-7.58260854857481	1.48256507192758e-13	7.63141552345129e-13	19.4145284339127	"down"
"BIK"	-1.21787094528278	3.0150077164506	-7.54135544215996	1.97522968305208e-13	1.00371190904984e-12	19.4141670489282	"down"
"PRSS23"	-1.30020284955293	7.26759375269886	-7.17706648777998	2.35936607585964e-12	1.08535400119845e-11	16.6881435496795	"down"
"ATP2A3"	-1.1494721704125	6.38147209663169	-5.89824203369766	6.47588471845887e-09	2.11454740212381e-08	8.90857130934185	"down"
"RTN1"	-1.13536662750305	3.55347859224798	-4.60224285276285	5.21219799173954e-06	1.25484699248101e-05	2.87146485739901	"down"
"CLU"	-1.0223137641119	8.94508619071634	-4.64968541157134	4.18204739129517e-06	1.01747239223554e-05	2.70051514890047	"down"
