"names"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"dir"
"MELK"	5.11267596678347	3.10578371340912	27.7544113594491	4.13669506006484e-106	4.92232239688882e-103	231.482965660614	"up"
"PKMYT1"	5.02634751147444	3.64698653375509	26.8861922466368	8.97358069844197e-102	5.82426176332058e-99	221.587882478006	"up"
"E2F1"	2.940779651957	4.27019449145697	18.435274774948	2.9175276295561e-59	2.58753894549265e-57	123.996791504477	"up"
"BARD1"	1.83921005215942	3.94804261825093	17.2226185376078	2.50131910113064e-53	1.78581677225222e-51	110.400239048729	"up"
"CHEK1"	2.10594768133684	3.65934755688514	15.5815090744636	1.70883207860484e-45	8.38502173553215e-44	92.5002445568914	"up"
"TRIM11"	1.46677468336143	5.17155369259743	14.7052184713156	1.98521108057058e-41	8.14564052283544e-40	83.0474388893596	"up"
"PCNA"	1.63925978554845	6.58114192259962	13.7024659098845	6.68639520054423e-37	2.10761671233049e-35	72.6307017819152	"up"
"TOMM40"	1.10778598857795	5.97071526425044	12.5607894613467	6.16572740170644e-32	1.37994391173928e-30	61.2547955958953	"up"
"BIK"	2.73419849767044	3.0150077164506	12.456015738825	1.71519757321039e-31	3.74484803484269e-30	60.5124721703052	"up"
"CASP3"	1.0166922419352	5.19597123498365	12.2743402577903	9.99919585560347e-31	2.05436716003111e-29	58.5245211333277	"up"
"PARP1"	1.36556478395769	8.0356793870212	12.047509425652	8.85438351002253e-30	1.69252666853563e-28	56.3648782881227	"up"
"PKM"	1.29654922977555	9.99194153078462	11.1785975285613	3.02253598628224e-26	4.42820433771358e-25	48.3741645545324	"up"
"BBC3"	1.3687900617339	3.34491510576636	10.3834901965168	3.71938556801931e-23	4.28498103934699e-22	41.4290056703488	"up"
"BAK1"	1.03405536490036	4.55849603365288	10.2695034374592	1.00338287490418e-22	1.12371012319661e-21	40.2814508341811	"up"
"ATAD5"	1.36072296989775	2.97249401781322	9.98656228668418	1.14209385853469e-21	1.16568679099477e-20	38.1011150890199	"up"
"BCL2L12"	1.28482353254021	3.80207352934168	9.38497893468512	1.72466775290636e-19	1.46848722980024e-18	33.0592134264171	"up"
"BRCA1"	1.57360029655363	4.06470342457974	8.51610407338792	1.63616351398103e-16	1.07168710165758e-15	26.1939217719905	"up"
"BMF"	1.05105747674361	4.71723338143736	7.56554137088433	1.66966260842629e-13	8.24666633888583e-13	19.2471157848005	"up"
"SMN1"	1.11443739740943	2.20297862852158	7.10669578579515	3.76726746075057e-12	1.63752852578561e-11	16.7025719519871	"up"
"CDKN2A"	1.95508338981279	2.58007908501021	6.74751139122186	3.8762302095819e-11	1.52307900832746e-10	14.165846548091	"up"
"PRKCZ"	1.03012722447558	4.2620801238556	6.70113331993547	5.20060460437273e-11	2.0173711802727e-10	13.7516730763731	"up"
"SLC9A3R1"	1.22257533176271	8.43866476689785	6.29054654945904	6.52900649189955e-10	2.27717840004479e-09	11.1497353085432	"up"
"LEF1"	1.47545321412773	3.89770459201292	6.03568793459953	2.93906327354375e-09	9.63205978492798e-09	9.89913605162963	"up"
"IKZF3"	1.25291008025479	3.22596937256549	4.75386226975074	2.56144204138079e-06	6.03644675835556e-06	3.41808616665143	"up"
"PYCARD"	1.14965607951364	5.0253812376197	4.78283165391067	2.23136784989526e-06	5.30674575760399e-06	3.36230106870186	"up"
"BCL2A1"	1.51381768090596	1.11949255825553	4.23523009882484	2.68296833374425e-05	5.62391439188699e-05	1.80031114008924	"up"
"ECM1"	1.44935026964224	5.83621557104511	4.38298831616569	1.40655319161754e-05	3.04952520848875e-05	1.46970482309523	"up"
"ATP2A3"	1.15868002721349	6.38147209663169	4.37782990481178	1.43907855806764e-05	3.11389645865251e-05	1.41459152144826	"up"
"SERPINB7"	1.22810630488276	-2.73213113212974	2.27606017376349	0.023232119897816	0.0333230979428342	-3.96086114128885	"up"
"GZMB"	1.04218204811613	0.243110549981374	2.32286821787033	0.0205559466256304	0.029732411048154	-4.11660655738841	"up"
"STARD9"	-2.50408087694256	3.17630990007239	-15.5095032017678	3.71686226820691e-45	1.80520667781383e-43	91.80275418369	"down"
"NMT2"	-1.82272898733317	3.99566468552314	-13.5946355796548	2.0102159446469e-36	6.01758353744509e-35	71.6958931124822	"down"
