"names"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"dir"
"MELK"	1.76337937651661	3.10578371340912	13.0701691594476	3.99861722430126e-34	2.5952843338999e-31	66.7006593614633	"up"
"E2F1"	1.41642361054647	4.27019449145697	10.9084351486364	3.51850621947741e-25	4.40708336034367e-23	46.3468190261253	"up"
"PKMYT1"	1.43430325891622	3.64698653375509	10.3054711730376	7.34183759476466e-23	7.28014576497532e-21	41.1034941162216	"up"
"CHEK1"	1.11433973792065	3.65934755688514	10.0166673153382	8.83591718044842e-22	7.42165067174253e-20	38.6817022914848	"up"
"HIF1A"	1.11290051511125	6.91310395292929	7.65583297847486	8.8826843825025e-14	2.92248502990215e-12	20.444002109792	"up"
"TLE1"	1.00967362452713	5.17885332567521	6.50134204525767	1.81041295744725e-10	3.28473781694909e-09	13.0461822024839	"up"
"IKZF3"	1.40653065099088	3.22596937256549	6.41873982141463	3.00506914494326e-10	5.12045135091226e-09	12.7528165551853	"up"
"HRK"	1.57271739552393	-0.839616726384187	4.92835871829897	1.10394249054228e-06	8.26163250652685e-06	5.20870546642308	"up"
"GZMB"	1.36326792746001	0.243110549981374	3.63387611085749	0.000305795002800497	0.00119399694968233	0.113662181695938	"up"
"BCL2"	-2.26351547580033	6.10896261456405	-12.376452089036	3.71863077500827e-31	1.29508119113032e-28	59.9388800955703	"down"
"PMAIP1"	-1.71987791447476	3.37677315456299	-8.10441050359124	3.54811894519695e-15	1.44753115481335e-13	23.8219430351916	"down"
"IRS2"	-1.27295349815973	5.12274314326635	-6.56244108096824	1.24028421649067e-10	2.32720345956246e-09	13.4134115306983	"down"
"RTN1"	-1.44633057011789	3.55347859224798	-5.10633887432478	4.5569271650486e-07	3.77483803198112e-06	5.76751805142364	"down"
"BNIPL"	-1.3640962572934	4.22946424175695	-4.30655440010425	1.96903101991921e-05	0.000108807252064343	2.10600075191956	"down"
