"names"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"dir"
"MELK"	2.41044935959625	3.10578371340912	22.6791998876151	1.50375383861477e-80	4.88002296854097e-78	172.89729093267	"up"
"CHEK1"	1.80832455974306	3.65934755688514	20.6821272378986	1.81840365583931e-70	2.47285579064091e-68	149.765521175016	"up"
"E2F1"	1.84698540265725	4.27019449145697	18.1512124872431	7.30808875320035e-58	4.29432918958633e-56	120.775727397208	"up"
"HRK"	3.79503685987708	-0.839616726384187	15.6569716233196	7.55783348486263e-46	1.86709869083657e-44	93.2384906380932	"up"
"PPARA"	1.43577105075839	4.10674361461854	15.3183632758675	2.90489462308886e-44	6.62603679282522e-43	89.6570846240612	"up"
"GAPDH"	1.3107450475087	11.4564928065767	15.004984451893	8.2751541053137e-43	1.74536078980464e-41	86.3424502324911	"up"
"ATAD5"	1.26819779019347	2.97249401781322	14.404707032671	4.67147428567794e-40	8.52992088557485e-39	80.1097319756081	"up"
"AGO2"	1.3947585917253	6.15054588044655	13.9670753276243	4.4112549145618e-38	7.14963778944698e-37	75.3494402202007	"up"
"TP53BP2"	1.163275732187	5.67514190139037	13.4457219068207	9.12923985041741e-36	1.27675235870823e-34	70.0574941087776	"up"
"PKMYT1"	1.37818948308226	3.64698653375509	12.5563679807645	6.43836561284207e-32	7.2905172550176e-31	61.3506265695267	"up"
"NMT2"	1.06080065749531	3.99566468552314	12.2614378136389	1.13267652152134e-30	1.19185615702308e-29	58.5300674953457	"up"
"CDKN2A"	2.08611448014885	2.58007908501021	11.6820841737631	2.83089058970909e-28	2.58619876714371e-27	53.0993808830493	"up"
"LYN"	1.11621434940853	4.83153199055875	11.2439119798266	1.66059624671919e-26	1.3603932189847e-25	48.9617179398294	"up"
"TLE1"	1.20534454566351	5.17885332567521	9.88749829639502	2.647586634503e-21	1.57389215462399e-20	37.0320426375117	"up"
"BCL2L14"	2.12119551989784	-0.171807631419479	9.252121219422	5.07291634654118e-19	2.59441878625578e-18	32.4890998872846	"up"
"BCL2A1"	2.02169698637844	1.11949255825553	8.49423522919965	1.9321446682824e-16	8.37810316380332e-16	26.6581420182864	"up"
"GZMB"	2.06216911128715	0.243110549981374	6.8535693606439	1.96721713724231e-11	5.83261908278302e-11	15.5011507520629	"up"
"IKZF3"	1.1579315622998	3.22596937256549	6.65953486715115	6.75987836816013e-11	1.92509579614995e-10	13.668661757558	"up"
"SERPINB7"	1.99276790800167	-2.73213113212974	5.85664774830656	8.20039785761742e-09	2.00331019690195e-08	9.77554535475111	"up"
"FBP1"	-3.14152780749607	5.72592119271402	-22.2753188969348	1.66161198304324e-78	4.3138468192499e-76	168.182209130639	"down"
"TMBIM6"	-1.13954191551853	10.2587029592505	-19.4006725409496	4.75715734448619e-64	4.29920567860242e-62	135.00215849562	"down"
"BCL2"	-2.35419374372629	6.10896261456405	-16.5612869987049	3.8550457081024e-50	1.32961830111097e-48	103.035261240637	"down"
"HSD17B4"	-1.0746746819742	7.26560613900969	-14.5251935457883	1.32119614518628e-40	2.48228417856775e-39	81.1275030976516	"down"
"ITPR1"	-2.12194208869876	6.26803827753237	-14.4100871936461	4.41574900067945e-40	8.07686423091218e-39	79.9875662289335	"down"
"BTRC"	-1.06888208063649	5.44677889214706	-12.6067931929886	3.92878339750912e-32	4.50233532367839e-31	61.7577201136216	"down"
"SLC9A3R1"	-1.48218068029129	8.43866476689785	-11.6466863762006	3.9469375731219e-28	3.57376801563777e-27	52.6012116571622	"down"
"PRSS23"	-1.75233121431289	7.26759375269886	-10.830299873541	7.10617395688574e-25	5.30695909677675e-24	45.1486855967648	"down"
"EDNRA"	-1.09927731550723	4.65430000772214	-9.75872088918133	7.83142164597451e-21	4.49276294426959e-20	36.0027742409735	"down"
"ECM1"	-1.86168837815612	5.83621557104511	-8.48396744063382	2.08880305429283e-16	9.02451401278285e-16	25.853139345925	"down"
"BIK"	-1.11562937920734	3.0150077164506	-7.69468982401634	6.75800648889112e-14	2.43988810758221e-13	20.4402389691091	"down"
"RTN1"	-1.65590541336659	3.55347859224798	-7.47799476591992	3.06172515872353e-13	1.04689591813729e-12	19.0423169967078	"down"
"LEF1"	-1.19465173064799	3.89770459201292	-7.45290377632468	3.63913804185084e-13	1.23428152255554e-12	18.7151345456152	"down"
"PYCARD"	-1.10517473842999	5.0253812376197	-6.90802113892426	1.38417696414321e-11	4.15136796282313e-11	15.0506303899265	"down"
"ATP2A3"	-1.11507036257653	6.38147209663169	-6.40640856624427	3.23975275103684e-10	8.76642591094467e-10	11.7959971953505	"down"
"CLU"	-1.15634755793839	8.94508619071634	-5.89488506545605	6.6008038432216e-09	1.62561017725701e-08	8.90657133193767	"down"
"MEOX2"	-1.20323504360383	1.86175677412478	-5.38863189709959	1.06098309996572e-07	2.37159951227465e-07	6.99078421965906	"down"
"BNIPL"	-1.34606118615984	4.22946424175695	-5.3593287502076	1.23806276509345e-07	2.75320015928507e-07	6.36092567892976	"down"
