"names"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"dir"
"PKMYT1"	4.90847938181836	3.64698653375509	30.7220977446862	9.83088064101278e-121	8.2573614513542e-118	265.143782476932	"up"
"MELK"	4.85236450926205	3.10578371340912	30.6528142209688	2.13798897625828e-120	1.60675497852589e-117	264.327111434584	"up"
"E2F1"	2.94829034709419	4.27019449145697	22.4976196097993	1.2473337896621e-79	1.09267970445308e-77	170.682195718636	"up"
"BARD1"	1.81649878843708	3.94804261825093	20.9113631493173	1.27676757407622e-71	8.21214603163706e-70	152.287870187907	"up"
"PCNA"	1.68754453119876	6.58114192259962	17.5146720228174	9.5249032578486e-55	3.04264191540985e-53	113.419044089827	"up"
"TRIM11"	1.38950178216567	5.17155369259743	17.2153436640559	2.71292361868216e-53	8.12113969626049e-52	110.122009312527	"up"
"CHEK1"	1.82208253561541	3.65934755688514	16.4885541946605	8.59514787689486e-50	2.20341322323486e-48	102.240537744528	"up"
"BBC3"	1.57044772587264	3.34491510576636	14.7082715624356	1.92224844207242e-41	3.29505228143483e-40	83.1122837895578	"up"
"ATAD5"	1.5823348189207	2.97249401781322	14.3088981736111	1.27109109437397e-39	1.97067423849793e-38	78.9981811443914	"up"
"PARP1"	1.27518296410923	8.0356793870212	13.9915472812158	3.42645191484555e-38	4.96713775554108e-37	75.4624968707262	"up"
"BRCA1"	2.01429179002857	4.06470342457974	13.4555214891589	8.26598969590014e-36	1.05478165208005e-34	70.1045328167543	"up"
"PMAIP1"	2.57085386921261	3.37677315456299	13.0215689729216	6.49558422684196e-34	7.53456110276818e-33	65.9146384067857	"up"
"SLC9A3R1"	1.9746887330354	8.43866476689785	12.640228998419	2.82984941503059e-32	3.00203713203728e-31	61.9054385477234	"up"
"TRAPPC9"	1.09966309525816	5.91178444001046	11.683956113544	2.78152515726929e-28	2.3363175129793e-27	52.711085958805	"up"
"BIK"	2.00316195727632	3.0150077164506	11.0949472061656	6.48855237432262e-26	4.75372187547217e-25	47.6308008473441	"up"
"SPNS1"	1.11673522533786	1.36767935867591	10.8969587169993	3.9019625279958e-25	2.74058647010586e-24	46.109335316728	"up"
"LEF1"	2.08162228913609	3.89770459201292	10.4958749708516	1.38838657067822e-23	8.90600711712231e-23	42.2369163182784	"up"
"FBP1"	1.62018442219993	5.72592119271402	9.68742519715115	1.42163818214486e-20	7.47406907321299e-20	35.1791513513366	"up"
"SMN1"	1.13183553224961	2.20297862852158	8.8707710515355	1.05620787606053e-17	4.56326543487697e-17	29.1202989255982	"up"
"TRAPPC5"	1.20447535581818	0.170922206001661	7.30104910940623	1.02538903932975e-12	3.18224953109964e-12	18.2058585383038	"up"
"CDKN2A"	1.71009013020347	2.58007908501021	7.17921255962743	2.32580103058316e-12	7.05547331967218e-12	16.7573433807764	"up"
