"names"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"dir"
"MELK"	5.75974594986311	3.10578371340912	35.2442425780352	2.85807278682776e-142	6.80173688718559e-139	314.542999626149	"up"
"PKMYT1"	4.97023373564048	3.64698653375509	30.211734572024	3.04006438523432e-118	7.11624251750178e-116	259.438499956865	"up"
"E2F1"	3.37134144406778	4.27019449145697	24.944982849837	5.2071777658438e-92	5.59047303146493e-90	199.107697187645	"up"
"CHEK1"	2.79993250315925	3.65934755688514	24.5890398571737	3.26873383913715e-90	3.24126739507217e-88	195.032630329084	"up"
"TOMM40"	1.54182346815012	5.97071526425044	21.0192707030438	3.65288455212335e-72	2.11172220727811e-70	153.394658841245	"up"
"BARD1"	1.86094506533157	3.94804261825093	20.7724056398874	6.39069120782034e-71	3.57853646103791e-69	150.644917252576	"up"
"PCNA"	1.79605352075058	6.58114192259962	18.0676324981336	1.88105027651847e-57	6.36481443090218e-56	119.585034463355	"up"
"ATAD5"	2.00009352775691	2.97249401781322	17.5517472541853	6.28371250068035e-55	1.91720364951313e-53	114.055470699869	"up"
"CALR"	1.33676006672622	9.72366828651115	16.1862934429339	2.37670909015169e-48	5.54526619252876e-47	98.7788624443979	"up"
"TRIM11"	1.34276227079265	5.17155369259743	16.125856657867	4.60435685378273e-48	1.05024938522626e-46	98.0675728366623	"up"
"BAK1"	1.34784995331874	4.55849603365288	16.0697314992102	8.5024179118429e-48	1.91190591123157e-46	97.4899924986343	"up"
"PARP1"	1.41079245480228	8.0356793870212	15.0035627136001	8.40133280500311e-43	1.50140965109686e-41	85.9874051564891	"up"
"CDKN2A"	3.56443838874379	2.58007908501021	14.4677935878287	2.41275917366427e-40	3.8026256336371e-39	80.587782081152	"up"
"CASP2"	1.03255320830999	5.85599264719838	14.0622680235144	1.64923062685329e-38	2.36202247952238e-37	76.0959869282375	"up"
"GAPDH"	1.51140329135028	11.4564928065767	13.7397687550741	4.56454110617598e-37	6.11991384554806e-36	72.9865366653613	"up"
"BCL2L12"	1.53507425323629	3.80207352934168	13.3842444268074	1.70106023097974e-35	2.07424756944148e-34	69.427457814608	"up"
"TP53BP2"	1.45365095531628	5.67514190139037	13.2816491437744	4.79090431633384e-35	5.70553150399758e-34	68.1785641917864	"up"
"PDIA4"	1.27075395854463	7.8241527747704	12.819376047233	4.84048613111689e-33	5.16958126149724e-32	63.5936362912865	"up"
"PKM"	1.04166026805911	9.99194153078462	10.8338199800457	6.88513108640059e-25	4.59620321564816e-24	45.0441847984387	"up"
"SERPINB7"	4.12845916921916	-2.73213113212974	9.26930545868131	4.41487156358849e-19	2.08672462947633e-18	32.619321085112	"up"
"BCL2A1"	2.77161216875436	1.11949255825553	9.19939986009915	7.7604489400435e-19	3.60714356819274e-18	31.953438275566	"up"
"PMAIP1"	1.88459940027899	3.37677315456299	9.24038969800353	5.57706452544642e-19	2.61956922233057e-18	31.7515469034801	"up"
"SERPINH1"	1.0478014273378	7.93119013763221	8.56950060931597	1.08875818068752e-16	4.43042976974553e-16	26.2625968162877	"up"
"BRCA1"	1.11453887119667	4.06470342457974	7.20455545321365	1.96325560881906e-12	6.03646142082846e-12	16.7056031242977	"up"
"BCL2L14"	1.96190312849963	-0.171807631419479	6.76165163080455	3.54283555469901e-11	9.98778852626794e-11	14.736231331752	"up"
"LEF1"	1.15690638948447	3.89770459201292	5.63719340082029	2.78492561608468e-08	6.33114995575119e-08	7.47149191178981	"up"
"SFN"	1.13796679479859	5.72975844495225	5.2751776397104	1.92105335982993e-07	4.10762517595261e-07	5.34643066556156	"up"
"GZMB"	1.74108323194328	0.243110549981374	4.60388135507524	5.17287475426605e-06	9.85371913235925e-06	3.31408367443044	"up"
"IKZF3"	1.00431099156371	3.22596937256549	4.53452650594813	7.11342180756652e-06	1.33877092382025e-05	2.19701536628071	"up"
"HRK"	1.33533453065677	-0.839616726384187	4.3346343658129	1.74113891130789e-05	3.16830922831214e-05	1.98348031065231	"up"
"EPAS1"	-2.26340119912927	7.45924580249613	-17.5698017163635	5.13110786069297e-55	1.57563632565236e-53	113.99961241855	"down"
"STARD9"	-2.10561713002636	3.17630990007239	-16.0604760425697	9.40672753032793e-48	2.10861322457696e-46	97.5999746430712	"down"
"ITPR1"	-2.92808550562113	6.26803827753237	-15.861866822419	8.18930321380354e-47	1.73751947384696e-45	95.2098006738428	"down"
"ITM2B"	-1.2082648962154	8.74113476718209	-14.6102446054758	5.40269093329827e-41	8.71695184593966e-40	81.8561492310477	"down"
"MEOX2"	-3.95719561590412	1.86175677412478	-14.3178385547738	1.15788286535724e-39	1.75700419069459e-38	79.3139169891341	"down"
"ZNF219"	-1.55522455737341	4.65141738870848	-14.1714251778702	5.31739001233808e-39	7.8436995853487e-38	77.2646910722565	"down"
"BCL2L2"	-1.17147882695852	5.81436253612507	-13.8653848862042	1.25756294578967e-37	1.71999437767535e-36	74.0985149222255	"down"
"NR4A1"	-2.64868996139266	5.67299102972469	-12.5649535755722	5.91948014372413e-32	5.95660725667631e-31	61.081381632851	"down"
"BCL2"	-2.20202937122192	6.10896261456405	-12.3434945361317	5.11974204719591e-31	4.89978530106638e-30	58.9654161958977	"down"
"PINK1"	-1.06609850052577	4.63685544092236	-11.812294411424	8.29455180088726e-29	6.91406334879563e-28	53.976137649444	"down"
"NLRP1"	-1.2703871038636	3.9251070519169	-11.4505555117581	2.4621826191585e-27	1.87207165170204e-26	50.717025481694	"down"
"MYCBP2"	-1.14723840796142	6.61771226847062	-11.407723458606	3.66338829792204e-27	2.75748663711275e-26	50.0945618346888	"down"
"CEBPA"	-2.08341878753999	4.60883977404183	-10.7918441870639	1.00317821393965e-24	6.63780431735136e-24	44.6592835277276	"down"
"IRS2"	-1.92670820460312	5.12274314326635	-10.619873260742	4.64395477246063e-24	2.96428387107579e-23	43.0225444700666	"down"
"BOK"	-1.46816028772053	5.81307048164745	-10.3411579044211	5.38141304162332e-23	3.23133712453068e-22	40.6133518743394	"down"
"TCF4"	-1.20968145277517	6.50431323675725	-9.72189032988002	1.06603716444036e-20	5.5901375949482e-20	35.3312550994564	"down"
"FBP1"	-1.6981479344969	5.72592119271402	-9.67674440989943	1.55406888801986e-20	8.07810325884078e-20	35.0516613352826	"down"
"RRAS"	-1.17070708698871	5.59885714364303	-9.58583321159843	3.30769044624066e-20	1.67960568569951e-19	34.2694886765115	"down"
"CLU"	-2.17257065107638	8.94508619071634	-8.72002040908874	3.41915344886516e-17	1.43721201343378e-16	27.4023698024881	"down"
"MAPK11"	-1.06210386390465	3.86538062808222	-8.31977861745434	7.19738514837219e-16	2.7723620861507e-15	24.6405015667292	"down"
"LRRK2"	-1.36097036893915	3.55014803235776	-7.88754565101079	1.71286441857383e-14	6.03454010185437e-14	21.4714696501495	"down"
"RTN1"	-2.12614959241516	3.55347859224798	-7.73356498882731	5.13538618712006e-14	1.75594299247814e-13	20.5421065705098	"down"
"LGALS3"	-1.19160270192994	7.19777534776684	-7.64347720616946	9.68722653472596e-14	3.25774629508601e-13	19.490997546611	"down"
"MAPK10"	-1.82837095960471	2.68484716971123	-5.18399712257994	3.071879343834e-07	6.45334193770866e-07	5.61045659151754	"down"
